MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
3.75,3.02,5.7,8,285,0,1,0,0,0,14.7
4.75,3.97,3.3,6,288,1,0,1,0,0,14.5
3.5,3.02,5.0,8,322,0,1,0,1,0,16.3
4.0,4.5,3.8,6,304,1,0,1,0,0,14.9
3.5,3.31,2.8,6,306,0,1,0,1,0,15.4
3.25,4.34,2.4,4,267,1,0,1,0,0,12.6
3.0,3.02,2.0,4,244,1,0,1,0,0,11.9
3.5,3.08,2.0,4,223,1,0,0,0,0,10.9
2.75,3.02,1.0,3,104,1,0,0,0,1,4.9
2.75,3.42,2.3,4,221,1,0,0,0,1,10.8
3.25,4.34,3.4,6,331,1,0,0,0,1,15.7
3.5,3.02,4.3,8,290,0,1,0,1,0,14.4
3.0,3.08,1.9,4,192,0,0,1,0,0,8.1
4.0,3.08,4.0,8,331,0,1,0,1,0,16.5
3.5,3.31,3.2,6,267,0,1,0,1,0,13.2
3.5,3.42,2.9,6,285,0,1,1,0,0,14.5
4.75,3.97,3.3,6,283,0,0,1,0,0,20.6
3.75,4.0,4.4,8,294,0,1,0,1,0,14.9
4.5,3.53,2.2,4,278,1,0,1,0,0,13.8
3.75,3.08,4.4,8,317,0,1,0,0,0,16.4
3.75,3.02,2.4,4,235,1,0,0,0,1,12.1
3.5,3.08,2.3,5,260,0,1,0,0,1,13.0
3.75,3.97,3.3,6,306,1,0,1,0,0,15.5
3.75,4.34,4.8,8,405,1,0,0,0,1,20.1
2.75,3.42,2.3,4,235,1,0,0,0,1,11.5
4.75,4.34,5.2,8,437,1,0,0,0,1,22.1
3.5,3.31,2.4,5,299,0,1,0,1,0,14.7
2.75,4.0,2.5,6,304,1,0,1,0,0,14.2
2.75,3.08,1.9,4,202,1,0,0,0,1,10.3
3.25,3.42,3.0,6,267,1,0,1,0,0,13.4
3.75,4.34,3.3,6,361,1,0,1,0,0,17.3
3.25,3.08,1.5,4,173,1,0,0,0,1,8.2
4.5,4.34,4.3,6,386,1,0,0,0,1,18.7
3.0,3.08,1.5,4,209,1,0,1,0,0,10.5
3.25,3.08,2.4,4,242,1,0,1,0,0,12.1
4.5,4.34,4.3,6,350,1,0,1,0,0,17.0
3.5,3.08,2.5,6,269,1,0,1,0,0,13.6
3.75,3.53,4.3,6,313,1,0,1,0,0,15.4
2.75,3.42,2.2,4,235,1,0,0,0,1,12.2
3.25,3.08,3.0,6,253,1,0,0,0,1,12.7
4.75,3.97,3.8,6,320,1,0,1,0,0,16.2
4.0,3.67,4.0,8,306,0,1,0,1,0,15.5
4.0,4.0,4.0,6,336,1,0,1,0,0,16.5
3.5,3.42,2.3,5,260,0,1,0,0,1,13.0
3.0,3.08,2.0,4,244,1,0,1,0,0,11.9
3.5,3.61,3.5,6,283,1,0,0,0,0,14.4
3.5,3.61,3.2,6,274,1,0,0,0,0,14.2
3.0,2.99,2.0,4,228,1,0,0,0,1,11.4
3.5,3.42,2.7,6,304,0,1,0,1,0,15.2
4.75,4.34,5.9,8,423,1,0,1,0,0,20.8
3.0,3.02,2.2,4,239,1,0,1,0,0,11.7
3.5,3.08,2.8,6,260,0,1,0,0,1,13.2
3.5,3.08,2.7,6,304,0,1,0,1,0,15.2
3.75,3.08,2.4,4,235,1,0,0,0,1,11.6
4.75,4.34,3.9,6,329,1,0,0,0,1,16.8
3.5,3.08,2.5,6,276,0,1,1,0,0,13.8
4.0,3.61,4.6,8,304,1,0,1,0,0,15.3
4.0,4.34,4.6,8,354,1,0,0,0,1,17.8
4.0,3.42,3.0,6,304,1,0,0,0,1,15.5
4.0,3.31,3.0,6,278,1,0,1,0,0,14.2
3.0,3.02,1.5,4,205,1,0,0,0,1,10.3
3.75,4.34,4.3,6,345,1,0,1,0,0,16.8
3.5,4.34,3.0,6,322,1,0,0,0,1,16.2
4.5,4.34,6.0,8,435,1,0,1,0,0,21.4
3.75,3.42,3.1,6,255,1,0,1,0,0,13.1
3.25,4.34,3.4,6,324,1,0,1,0,0,15.2
