MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
0.07142857142857142,0.048913043478260795,0.14285714285714285,0.1111111111111111,0.3171355498721228,1.0,0.0,0.0,0.0,1.0,11.2
0.5714285714285714,0.7336956521739129,0.5285714285714286,0.5555555555555556,0.710997442455243,1.0,0.0,0.0,0.0,1.0,18.8
0.5,0.7336956521739129,0.5428571428571428,0.5555555555555556,0.6879795396419437,1.0,0.0,0.0,0.0,1.0,18.9
0.35714285714285715,0.7336956521739129,0.5142857142857142,0.5555555555555556,0.7058823529411765,1.0,0.0,1.0,0.0,0.0,18.5
0.35714285714285715,0.7336956521739129,0.4571428571428572,0.3333333333333333,0.6521739130434783,1.0,0.0,1.0,0.0,0.0,17.3
0.07142857142857142,0.048913043478260795,0.14285714285714285,0.1111111111111111,0.35805626598465473,1.0,0.0,1.0,0.0,0.0,11.9
0.14285714285714285,0.016304347826086852,0.1142857142857143,0.1111111111111111,0.340153452685422,0.0,1.0,0.0,0.0,0.0,11.6
0.35714285714285715,0.5489130434782608,0.21428571428571427,0.1111111111111111,0.5396419437340153,1.0,0.0,0.0,0.0,1.0,14.7
0.07142857142857142,0.048913043478260795,0.12857142857142856,0.1111111111111111,0.22506393861892582,0.0,0.0,1.0,0.0,0.0,8.1
0.35714285714285715,1.0,0.5142857142857142,0.5555555555555556,0.710997442455243,1.0,0.0,1.0,0.0,0.0,18.8
0.35714285714285715,0.293478260869565,0.4714285714285714,0.3333333333333333,0.5345268542199488,1.0,0.0,1.0,0.0,0.0,15.4
0.2857142857142857,0.33695652173913027,0.39999999999999997,0.3333333333333333,0.4040920716112532,1.0,0.0,1.0,0.0,0.0,13.5
0.2857142857142857,0.016304347826086852,0.0,0.0,0.10997442455242967,1.0,0.0,0.0,0.0,1.0,7.1
0.35714285714285715,0.5489130434782608,0.42857142857142855,0.3333333333333333,0.6470588235294118,1.0,0.0,0.0,1.0,0.0,17.1
0.5714285714285714,0.8206521739130435,0.6,0.5555555555555556,0.6368286445012787,0.0,0.0,1.0,0.0,0.0,20.8
0.14285714285714285,0.016304347826086852,0.2857142857142857,0.3333333333333333,0.5166240409207161,0.0,1.0,0.0,0.0,0.0,15.2
0.35714285714285715,0.5489130434782608,0.6285714285714287,0.5555555555555556,0.7647058823529411,1.0,0.0,1.0,0.0,0.0,20.2
0.14285714285714285,0.048913043478260795,0.34285714285714286,0.3333333333333333,0.4040920716112532,1.0,0.0,1.0,0.0,0.0,13.6
0.0,0.5489130434782608,0.14285714285714285,0.1111111111111111,0.41687979539641945,1.0,0.0,1.0,0.0,0.0,12.5
0.2857142857142857,0.7336956521739129,0.32857142857142857,0.3333333333333333,0.629156010230179,1.0,0.0,0.0,0.0,1.0,16.2
0.0,0.23369565217391292,0.1857142857142857,0.1111111111111111,0.340153452685422,1.0,0.0,1.0,0.0,0.0,11.8
0.5,0.293478260869565,0.17142857142857146,0.1111111111111111,0.3631713554987212,1.0,0.0,0.0,0.0,1.0,12.2
0.07142857142857142,0.048913043478260795,0.17142857142857146,0.1111111111111111,0.3938618925831202,1.0,0.0,0.0,0.0,1.0,13.1
0.21428571428571427,0.33695652173913027,0.24285714285714288,0.3333333333333333,0.3938618925831202,1.0,0.0,0.0,0.0,0.0,13.2
0.5714285714285714,0.7336956521739129,0.7000000000000001,0.5555555555555556,0.8235294117647058,1.0,0.0,1.0,0.0,0.0,21.6
0.07142857142857142,0.016304347826086852,0.14285714285714285,0.1111111111111111,0.3171355498721228,1.0,0.0,0.0,0.0,1.0,11.2
0.2857142857142857,0.048913043478260795,0.2571428571428571,0.3333333333333333,0.3938618925831202,0.0,1.0,0.0,0.0,1.0,13.0
0.2857142857142857,0.8206521739130435,0.4714285714285714,0.3333333333333333,0.5933503836317136,1.0,0.0,1.0,0.0,0.0,16.2
0.14285714285714285,0.016304347826086852,0.1142857142857143,0.1111111111111111,0.32225063938618925,0.0,1.0,0.0,0.0,0.0,11.6
0.2857142857142857,0.23369565217391292,0.2857142857142857,0.3333333333333333,0.4859335038363171,0.0,1.0,1.0,0.0,0.0,14.7
0.21428571428571427,0.048913043478260795,0.2571428571428571,0.3333333333333333,0.4629156010230179,0.0,1.0,0.0,1.0,0.0,14.6
0.35714285714285715,0.23369565217391292,0.2857142857142857,0.3333333333333333,0.4117647058823529,1.0,0.0,1.0,0.0,0.0,13.5
0.5,0.5489130434782608,0.6714285714285715,0.5555555555555556,0.8337595907928389,1.0,0.0,1.0,0.0,0.0,21.2
0.14285714285714285,0.23369565217391292,0.17142857142857146,0.1111111111111111,0.3171355498721228,1.0,0.0,0.0,0.0,1.0,11.4
0.07142857142857142,0.5489130434782608,0.21428571428571427,0.1111111111111111,0.3631713554987212,1.0,0.0,1.0,0.0,0.0,12.2
0.35714285714285715,0.23369565217391292,0.42857142857142855,0.5555555555555556,0.5166240409207161,0.0,1.0,0.0,1.0,0.0,15.5
0.07142857142857142,0.048913043478260795,0.1142857142857143,0.1111111111111111,0.309462915601023,0.0,1.0,0.0,0.0,1.0,11.1
0.07142857142857142,0.5489130434782608,0.14285714285714285,0.1111111111111111,0.4859335038363171,1.0,0.0,1.0,0.0,0.0,13.4
0.2857142857142857,0.7336956521739129,0.6142857142857142,0.5555555555555556,0.6112531969309463,1.0,0.0,1.0,0.0,0.0,16.7
