Actual,Predicted
11.6,11.682194431764955
14.7,14.866091168440553
12.2,12.455447518866087
13.5,13.489703716241412
13.0,12.94201995660513
9.3,8.993297506483097
12.3,12.74292476613457
13.7,13.640369347847546
17.3,17.885739413986872
16.3,16.409385527044996
19.6,20.327391125229415
13.6,13.232233769987637
10.5,10.881355346585758
16.7,16.69575678016113
22.1,22.487205807834297
10.3,10.253529620226761
18.7,19.030761028360853
18.0,18.003842707384745
13.9,13.652185585447434
13.1,13.22161610499661
20.0,19.757827461101474
12.2,11.636216797063362
13.4,13.388535139708985
13.4,13.399589843775814
16.5,16.57253164995108
15.2,15.227829325789116
8.1,10.481089308268672
15.0,14.64841934118615
18.3,19.19082238137513
13.8,13.405337906408123
15.2,15.651807031152092
13.9,14.030446667153226
9.1,9.400416987387064
16.0,16.242509815057794
12.7,12.683316500533941
20.2,19.83897901491727
15.0,14.619722450246742
16.1,16.13164216266626
14.4,14.800792510336773
12.1,12.162396471556816
13.6,13.282119127419838
17.9,17.87091366277803
12.5,11.895736232318582
13.9,14.122763220693106
17.6,17.167224034129205
18.9,19.200509477158054
10.5,10.586464412858582
17.3,18.247831686265396
12.5,12.278932746186001
11.2,11.050947815455055
16.5,16.774841794684082
15.4,15.186852881215081
14.4,14.69931979595862
11.2,11.13976584960027
11.8,11.817633350330198
11.8,12.050478628093789
13.6,13.458696335050064
14.9,15.1529855469891
12.6,12.560171608059893
11.2,11.025101548435645
16.0,16.098146904411564
13.2,13.226414133344463
11.1,11.24953264098796
10.1,9.757112952410983
18.5,18.41187379391605
10.0,9.876846991175109
16.3,16.49463324119312
11.8,12.085190640018766
13.6,13.473194996849998
13.0,13.040527526058865
13.8,13.694086436252231
14.9,14.371518109976872
19.6,20.327391125229415
14.3,14.439671835378537
12.2,11.962054834221307
9.1,9.266903006412264
13.6,13.433735902590342
7.1,6.901159526118813
14.7,14.431519901171777
13.9,13.729768863412668
21.4,20.947890988995166
13.4,14.046943469508946
10.5,10.74784136561096
16.2,16.80031937582776
11.2,11.528430166562236
11.9,11.570931194671482
10.6,10.184016822360558
12.2,12.103817284670296
17.4,17.660915396147995
10.9,11.043656067060942
14.3,14.12819174843018
13.6,13.260914028527537
17.0,17.06063234715194
11.7,12.022347595893773
19.0,18.70948019062763
19.6,18.860942010395746
15.4,15.225956504008106
11.8,11.778174256070542
15.5,15.21664247188823
10.6,10.679947779928208
13.9,13.716156036172423
11.9,11.993746516966524
13.2,12.875992390601827
17.1,17.128500978422387
17.9,18.28223878806161
14.2,14.12076594063793
19.6,19.28304291866345
14.0,13.871144082947247
13.2,12.97857209227797
14.4,14.726169143393957
16.7,17.05387107217254
12.5,12.69152148950213
15.2,15.320542210117807
26.3,26.101411474835157
12.5,12.77995781177728
16.3,16.394606823807283
13.1,12.65514932157806
16.6,16.735382700424427
13.6,13.165009961130325
11.9,12.057095521628094
8.6,8.779381809635685
14.6,14.816684596606605
15.4,15.547841674458253
18.5,18.773966066194575
10.3,9.86158235330313
16.7,16.99429753746959
11.8,11.674077953605552
13.9,13.617778809588762
13.9,13.690309769153012
13.4,13.399294902959506
15.0,14.572620321775487
17.2,17.57223894135986
17.6,18.615280520441274
14.7,14.307047331703398
13.4,13.031019521158683
18.3,18.599335031059024
14.3,14.20593629661435
11.2,11.13976584960027
13.2,13.126147058850664
9.8,9.968207577785526
13.1,12.61156733462368
16.7,16.849142333660627
11.8,11.946038310903056
14.5,14.836165056319231
8.1,10.481089308268672
12.9,12.452625975713273
18.9,19.200509477158054
15.2,15.200894176266772
19.3,19.33034842579403
13.9,13.524708733712039
12.7,12.677000911619439
16.8,16.528374980195828
15.4,15.720467254134045
13.8,13.624388658312347
16.2,16.493734434944784
11.2,11.054898324046386
13.2,12.97857209227797
13.2,12.951484205482517
11.9,11.993746516966524
12.1,11.6751627379166
13.9,13.820249508282018
13.5,13.289514752148083
11.2,11.13976584960027
17.9,18.644331060340132
15.5,16.249873965414473
15.7,15.532326873182749
14.2,14.526903503960773
15.1,14.897250404236098
11.7,11.783215204859157
19.6,20.327391125229415
16.5,16.550188992928817
20.0,19.486385790009663
11.1,11.0645606426953
20.1,19.397929188531144
18.3,18.201421146652393
14.3,14.547643237080633
16.2,16.97490988493535
12.6,12.713048156570508
13.0,13.029769185571649
12.0,11.754998049683307
17.7,17.682142398560874
18.8,18.457985402980263
17.8,17.335914664305157
13.3,13.55068060489407
20.6,20.339539050836617
13.8,13.913272197218387
13.3,13.48046299853414
7.6,7.500302850872651
20.8,20.975455939887404
20.6,20.70163132311514
14.0,13.871144082947247
13.0,12.981479050864785
14.5,14.836165056319231
19.1,18.744479573255404
10.6,10.869099644846482
20.8,18.89852019711513
17.3,17.633755377036774
13.6,13.09867979732967
16.4,16.23717448767536
15.7,16.27257574522971
15.5,15.57893649448663
19.3,18.649514789357568
17.3,17.52155899624704
15.5,15.646403476226112
12.1,12.294308412734336
10.5,10.551301686810213
11.8,12.123923177988804
14.4,14.190970022878508
16.5,16.659024257437995
18.3,18.586616005050498
9.1,9.295034038612279
15.5,15.26142541164608
13.6,13.749049541794205
10.6,10.731365806569167
10.6,10.961468753357325
21.5,20.707028984175928
